,0,1,2,__mappify_error,Latitude,Longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType
6072,Forest Ranges,LOCATION,18860416-966-197814408 (1 of 2).txt,No match found.,138.80697,-34.92796,SA,0.0,0.0,1,100.0,fuzzy
6073,Ihat,LOCATION,18980122-621-221141098 (1 of 1).txt,No match found.,,,None,,,0,,None
6074,SYDNEY,LOCATION,18950827-806-187784056 (2 of 2).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6075,Bloomliehl,LOCATION,18980122-621-221141098 (1 of 1).txt,No match found.,,,None,,,0,,None
6076,South-East,LOCATION,18640109-287-92257685 (4 of 4).txt,No match found.,,,None,,,0,,None
6077,Macleay River,LOCATION,18950827-806-187784056 (2 of 2).txt,No match found.,152.2511111111111,-30.748333333333335,NSW,0.0,0.0,1,100.0,exact
6078,Victoria,LOCATION,18650421-28-3748548 (1 of 3).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
6079,Williamstown,LOCATION,18670201-13-5784915 (1 of 1).txt,No match found.,141.8903038888885,-36.35775166666665,Ambiguous,3.7069560909728128,3.4069479297566487,9,,exact
6080,Williamstown,LOCATION,18670201-13-5784915 (1 of 1).txt,No match found.,141.8903038888885,-36.35775166666665,Ambiguous,3.7069560909728128,3.4069479297566487,9,,exact
6081,Yallock Station,LOCATION,18670201-13-5784915 (1 of 1).txt,No match found.,,,None,,,0,,None
6082,St. Joseph,LOCATION,18900130-1086-212685509 (1 of 1).txt,No match found.,,,None,,,0,,None
6083,SYDNEY,LOCATION,18831213-367-103504806 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6084,Cam bridge,LOCATION,18831213-367-103504806 (1 of 1).txt,No match found.,147.24227,-30.18398,Ambiguous,5.981233106026926,3.825186500000001,6,,fuzzy
6085,Now Caledonia,LOCATION,18831213-367-103504806 (1 of 1).txt,No match found.,,,None,,,0,,None
6086,Stockyard Creek,LOCATION,18640220-8-18712229 (1 of 1).txt,No match found.,149.38097222222223,-29.8275,Ambiguous,6.11584974134613,5.662741138808191,155,,exact
6087,Victoria,LOCATION,18570109-67-60278577 (1 of 2).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
6088,Town Hall,LOCATION,18570109-67-60278577 (1 of 2).txt,No match found.,144.87033388888887,-34.43839,Ambiguous,6.373289575618929,6.373289575618929,2,,exact
6089,Little Brighton,LOCATION,18570109-67-60278577 (1 of 2).txt,No match found.,,,None,,,0,,None
6090,Mir,LOCATION,18840105-367-103505838 (2 of 3).txt,No match found.,,,None,,,0,,None
6091,Ilave,LOCATION,18840105-367-103505838 (2 of 3).txt,No match found.,,,None,,,0,,None
6092,St. George 's Hall,LOCATION,18680402-326-197438199 (1 of 1).txt,No match found.,,,None,,,0,,None
6093,Bairnsdale,LOCATION,18680402-326-197438199 (1 of 1).txt,No match found.,147.62902830000002,-37.8272228733333,VIC,0.025634751193170872,0.009922973608434174,5,80.0,exact
6094,Koitpo,LOCATION,18911023-714-148121053 (1 of 2).txt,No match found.,,,None,,,0,,None
6095,Devonport,LOCATION,18990720-10-12746245 (1 of 1).txt,No match found.,146.33200305,-41.188999085,TAS,0.02617526657246991,0.02617526657246991,2,100.0,exact
6096,Latrobe,LOCATION,18990720-10-12746245 (1 of 1).txt,No match found.,146.48500185,-41.235499770000004,TAS,0.07519956804048303,0.07519956804048303,2,100.0,exact
6097,Mowburn Park,LOCATION,18681228-484-108513900 (1 of 2).txt,No match found.,146.9273682,-37.94958496,VIC,0.0,0.0,1,100.0,fuzzy
6098,Freestone Creek,LOCATION,18681228-484-108513900 (1 of 2).txt,No match found.,147.65236284444399,-37.33361033166665,VIC,0.7371404961810661,0.7371404961810661,5,40.0,exact
6099,Woomargama,LOCATION,18930218-319-198032478 (5 of 10).txt,No match found.,147.23444444444442,-35.815,NSW,0.03543166316961067,0.022961656175496305,3,100.0,exact
6100,Bungowannah,LOCATION,18930218-319-198032478 (5 of 10).txt,No match found.,146.79277777777776,-36.00666666666667,NSW,0.011785113019780146,0.011785113019780146,2,100.0,exact
6101,Niddnl,LOCATION,18810131-185-200654634 (1 of 1).txt,No match found.,,,None,,,0,,None
6102,Victoria,LOCATION,18810131-185-200654634 (1 of 1).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
6103,Mandurrah,LOCATION,18690320-386-106235274 (2 of 2).txt,No match found.,115.73505,-32.52842,WA,0.016840295922441094,0.011686269721347025,5,80.0,fuzzy
6104,Geelong,LOCATION,18670112-319-196632543 (1 of 2).txt,No match found.,144.35597230000002,-38.14819527,VIC,0.005005074585987808,0.00224929642066765,5,80.0,exact
6105,Mecklonburg-Sohworin,LOCATION,18980212-821-162389005 (3 of 9).txt,No match found.,,,None,,,0,,None
6106,North Prussia,LOCATION,18980212-821-162389005 (3 of 9).txt,No match found.,,,None,,,0,,None
6107,Gilles Plains,LOCATION,18980212-821-162389005 (3 of 9).txt,No match found.,138.65899,-34.85025,SA,0.0,0.0,1,100.0,exact
6108,Mount Gambior,LOCATION,18980212-821-162389005 (3 of 9).txt,No match found.,140.7648133,-37.82411,SA,2.35242976994654,0.014996700000011742,3,100.0,fuzzy
6109,South Australia,LOCATION,18980212-821-162389005 (3 of 9).txt,No match found.,137.305178,-32.4907365,SA,3.424218638749024,3.424218638749024,2,100.0,exact
6110,iWdllundry Lagoon,LOCATION,18820221-413-101816256 (1 of 1).txt,No match found.,,,None,,,0,,None
6111,Temperance Hall,LOCATION,18490206-13-4772171 (3 of 3).txt,No match found.,,,None,,,0,,None
6112,M.P.,LOCATION,18920412-413-101859807 (3 of 4).txt,No match found.,,,None,,,0,,None
6113,Siverina,LOCATION,18870128-436-254559194 (1 of 5).txt,No match found.,,,None,,,0,,None
6114,Birri,LOCATION,18991117-648-156359800 (1 of 1).txt,No match found.,,,None,,,0,,None
6115,J.P,LOCATION,18790210-232-232166385 (1 of 3).txt,No match found.,,,None,,,0,,None
6116,Wallsend,LOCATION,18880109-109-65411964 (1 of 1).txt,No match found.,151.66777777777776,-32.89833333333333,NSW,0.0,0.0,1,100.0,exact
6117,Cape Clear,LOCATION,18790210-232-232166385 (1 of 3).txt,No match found.,143.612635122222,-37.787638557222195,VIC,0.0007885759011138448,0.0007885759011138448,2,100.0,exact
6118,New South Wales,LOCATION,18810325-582-198694285 (1 of 2).txt,No match found.,147.01777777777778,-32.16166666666666,NSW,0.0,0.0,1,100.0,exact
6119,New Zealand,LOCATION,18810325-582-198694285 (1 of 2).txt,No match found.,,,None,,,0,,None
6120,Brisbane,LOCATION,18810325-582-198694285 (1 of 2).txt,No match found.,151.92291666666665,-29.82472222222222,Ambiguous,2.603174807409623,2.603174807409623,2,,exact
6121,Sydney,LOCATION,18810325-582-198694285 (1 of 2).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6122,Mount Lindsay,LOCATION,18810325-582-198694285 (1 of 2).txt,No match found.,150.16777777777776,-30.281666666666666,Ambiguous,9.959802958548627,4.200083745858203,8,,exact
