article_id,article_placename,latitude_1,longitude_2,State_2,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,filename_2
43010105,Tasmania,146.75,-42,TAS,0,0,2,100,exact,18760103-41-43010105 (2 of 2).txt
43010105,Queensland,121.2023,-31.02926,WA,0,0,1,100,exact,18760103-41-43010105 (2 of 2).txt
43010105,Victoria,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,18760103-41-43010105 (2 of 2).txt
43010105,Masonic Hall,,,None,,,0,,None,18760103-41-43010105 (2 of 2).txt
43010105,Moonta,137.588881,-34.06674055,SA,1.14E-06,1.14E-06,3,66.66666667,exact,18760103-41-43010105 (2 of 2).txt
43010105,Port Adelaide,138.4801494,-34.80826226,SA,0.043501277,0.043501277,2,100,exact,18760103-41-43010105 (2 of 2).txt
43010105,Penola,140.8361306,-37.37428549,SA,0.003215125,0.003215125,4,50,exact,18760103-41-43010105 (2 of 2).txt
43010105,Canowie,138.76055,-33.39773,SA,0.712223146,0.093045598,5,100,exact,18760103-41-43010105 (2 of 2).txt
43010105,Mallala,142.432825,-34.174003,Ambiguous,3.931955556,3.931955556,2,,exact,18760103-41-43010105 (2 of 2).txt
43010105,Goolwa,138.7817628,-35.50146842,SA,0,0,4,50,exact,18760103-41-43010105 (2 of 2).txt
43010105,Riverton,115.89655,-32.04175,WA,0.007159756,0.007159756,6,33.33333333,exact,18760103-41-43010105 (2 of 2).txt
43010105,Goolwa,138.7817628,-35.50146842,SA,0,0,4,50,exact,18760103-41-43010105 (2 of 2).txt
43010105,Glenelg,147.0838528,-33.64378,Ambiguous,8.946850417,3.075077963,25,,exact,18760103-41-43010105 (2 of 2).txt
43010105,Hookina,138.26213,-31.80583,SA,0,0,1,100,exact,18760103-41-43010105 (2 of 2).txt
72550234,Windsor,144.9898629,-34.853855,Ambiguous,7.421570647,6.396096043,20,,exact,18961107-192-72550234 (2 of 2).txt
240970927,Braybrook,144.8543091,-37.78569428,VIC,0.001663161,0.001663161,2,100,exact,18980806-1324-240970927 (1 of 1).txt
240970927,Ballarat,143.8565216,-37.55986023,VIC,0.009418973,0.002377951,6,83.33333333,exact,18980806-1324-240970927 (1 of 1).txt
240970927,Korumbnrra,,,None,,,0,,None,18980806-1324-240970927 (1 of 1).txt
203770353,Newcastle,151.7177778,-32.865,NSW,1.579793292,0.094280904,4,75,exact,18960210-185-203770353 (2 of 2).txt
203770353,Queensland,121.2023,-31.02926,WA,0,0,1,100,exact,18960210-185-203770353 (2 of 2).txt
150430096,Geelong,144.3559723,-38.14819527,VIC,0.005005075,0.002249296,5,80,exact,18830308-558-150430096 (1 of 1).txt
150430096,London Hotel,,,None,,,0,,None,18830308-558-150430096 (1 of 1).txt
150430096,Newtown,152.7,-27.56666667,QLD,0.750374885,0.766666667,10,50,exact,18830308-558-150430096 (1 of 1).txt
43340837,DUBLIN,135.1372635,-33.13616926,SA,3.470829059,3.470829059,4,50,exact,18821107-41-43340837 (1 of 1).txt
249281028,Cape,,,None,,,0,,None,18810305-232-249281028 (1 of 1).txt
249281028,Europe,,,None,,,0,,None,18810305-232-249281028 (1 of 1).txt
249281028,Sanklin Harbor,,,None,,,0,,None,18810305-232-249281028 (1 of 1).txt
249281028,Torrens,149.3094444,-32.40125,NSW,3.437036708,2.422774822,6,66.66666667,exact,18810305-232-249281028 (1 of 1).txt
260614589,PEIITU,,,None,,,0,,None,18931218-1606-260614589 (1 of 1).txt
159485069,Galle,,,None,,,0,,None,18760108-821-159485069 (2 of 2).txt
159485069,Tasmania,146.75,-42,TAS,0,0,2,100,exact,18760108-821-159485069 (2 of 2).txt
159485069,Queensland,121.2023,-31.02926,WA,0,0,1,100,exact,18760108-821-159485069 (2 of 2).txt
159485069,Victoria,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,18760108-821-159485069 (2 of 2).txt
159485069,Masonic Hall,,,None,,,0,,None,18760108-821-159485069 (2 of 2).txt
159485069,Moonta,137.588881,-34.06674055,SA,1.14E-06,1.14E-06,3,66.66666667,exact,18760108-821-159485069 (2 of 2).txt
159485069,Port Adelaide,138.4801494,-34.80826226,SA,0.043501277,0.043501277,2,100,exact,18760108-821-159485069 (2 of 2).txt
159485069,Penola,140.8361306,-37.37428549,SA,0.003215125,0.003215125,4,50,exact,18760108-821-159485069 (2 of 2).txt
159485069,Canowie,138.76055,-33.39773,SA,0.712223146,0.093045598,5,100,exact,18760108-821-159485069 (2 of 2).txt
159485069,Mallala,142.432825,-34.174003,Ambiguous,3.931955556,3.931955556,2,,exact,18760108-821-159485069 (2 of 2).txt
159485069,Goolwa,138.7817628,-35.50146842,SA,0,0,4,50,exact,18760108-821-159485069 (2 of 2).txt
159485069,Riverton,115.89655,-32.04175,WA,0.007159756,0.007159756,6,33.33333333,exact,18760108-821-159485069 (2 of 2).txt
159485069,Goolwa,138.7817628,-35.50146842,SA,0,0,4,50,exact,18760108-821-159485069 (2 of 2).txt
159485069,Glenelg,147.0838528,-33.64378,Ambiguous,8.946850417,3.075077963,25,,exact,18760108-821-159485069 (2 of 2).txt
159485069,Hookina,138.26213,-31.80583,SA,0,0,1,100,exact,18760108-821-159485069 (2 of 2).txt
147365261,Drysdale,144.6525692,-36.51867974,Ambiguous,3.35189617,1.662762242,8,,exact,18740105-558-147365261 (1 of 1).txt
147365261,Grass-tree Hill,148.6821519,-35.08118056,Ambiguous,6.176036337,6.163326392,9,,fuzzy,18740105-558-147365261 (1 of 1).txt
161927478,Elderslie,150.715,-30.478343,Ambiguous,5.980174492,3.575545889,7,,exact,18890316-698-161927478 (1 of 1).txt
161927478,Appin,150.7844444,-34.20666667,NSW,1.724752534,0,6,83.33333333,exact,18890316-698-161927478 (1 of 1).txt
161927478,The Oaks,146.8489598,-34.42326,Ambiguous,4.374701677,3.597191078,41,,exact,18890316-698-161927478 (1 of 1).txt
161927478,West Valley,148.853451,-35.827374,NSW,0,0,1,100,exact,18890316-698-161927478 (1 of 1).txt
161927478,Deniliquin,144.9397222,-35.52888889,NSW,0.005964142,0.005964142,3,66.66666667,exact,18890316-698-161927478 (1 of 1).txt
161927478,Denili,,,None,,,0,,None,18890316-698-161927478 (1 of 1).txt
223172306,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18991028-621-223172306 (2 of 2).txt
223172306,Gardens,,,None,,,0,,None,18991028-621-223172306 (2 of 2).txt
71571665,Conewarre,144.4037476,-38.24874878,VIC,0,0,1,100,exact,18550205-110-71571665 (3 of 3).txt
71571665,Breanm,,,None,,,0,,None,18550205-110-71571665 (3 of 3).txt
71571665,Yarra,149.6344444,-34.815,NSW,0.299254339,0,4,75,exact,18550205-110-71571665 (3 of 3).txt
81636347,Queensland,121.2023,-31.02926,WA,0,0,1,100,exact,18981026-269-81636347 (1 of 1).txt
81636347,Rossville,145.2663889,-15.79555607,QLD,0.014910328,0.000277265,3,100,exact,18981026-269-81636347 (1 of 1).txt
258481881,Seottsdals,,,None,,,0,,None,18980304-1622-258481881 (2 of 3).txt
258481881,Scottsdale,147.5099945,-41.15999985,TAS,0,0,1,100,exact,18980304-1622-258481881 (2 of 3).txt
258481881,West coast,145.4090012,-41.98299909,TAS,0.382007915,0.382007915,2,100,exact,18980304-1622-258481881 (2 of 3).txt
234890353,Doniliquin-Jorildorio,,,None,,,0,,None,18851127-1224-234890353 (2 of 2).txt
234890353,Corowo,,,None,,,0,,None,18851127-1224-234890353 (2 of 2).txt
234890353,Deniliquin,144.9397222,-35.52888889,NSW,0.005964142,0.005964142,3,66.66666667,exact,18851127-1224-234890353 (2 of 2).txt
234890353,Coliondina Run,,,None,,,0,,None,18851127-1224-234890353 (2 of 2).txt
234890353,Corowa,146.3827778,-35.99402778,NSW,0.010721791,0.001672444,5,80,exact,18851127-1224-234890353 (2 of 2).txt
234890353,Whelan,138.8166667,-23.48333333,QLD,0,0,1,100,exact,18851127-1224-234890353 (2 of 2).txt
234890353,Butherwa Station,,,None,,,0,,None,18851127-1224-234890353 (2 of 2).txt
254466928,Urana,146.2677778,-35.33166667,NSW,0.174283029,0,5,100,exact,18880608-436-254466928 (2 of 3).txt
254466928,Barooga,145.6927778,-35.89475183,NSW,0.754810748,0.029513879,7,85.71428571,exact,18880608-436-254466928 (2 of 3).txt
254466928,Barooga,145.6927778,-35.89475183,NSW,0.754810748,0.029513879,7,85.71428571,exact,18880608-436-254466928 (2 of 3).txt
5783603,Long Gully,148.6844444,-32.54833333,Ambiguous,5.359101625,4.609199738,153,,exact,18670115-13-5783603 (1 of 1).txt
5783603,Castlemaine,144.2180571,-37.06416512,VIC,0.002189268,0.001456216,4,100,exact,18670115-13-5783603 (1 of 1).txt
5783603,Yandoit,144.1098633,-37.20986111,VIC,0.021960586,0.021668856,3,100,exact,18670115-13-5783603 (1 of 1).txt
5783603,Daylesford,144.144722,-37.34222308,VIC,0.002460246,0.002460246,4,50,exact,18670115-13-5783603 (1 of 1).txt
5783603,Glenlyon,151.4519444,-28.91944313,Ambiguous,4.447900169,0.107721229,7,,exact,18670115-13-5783603 (1 of 1).txt
5783603,Haddon,143.7212481,-37.58972152,VIC,0.020884505,0.015351816,6,66.66666667,exact,18670115-13-5783603 (1 of 1).txt
66447861,Bowenmount,,,None,,,0,,None,18950914-192-66447861 (3 of 3).txt
66447861,South Kurrajong,,,None,,,0,,None,18950914-192-66447861 (3 of 3).txt
18730719,Hobart Town,,,None,,,0,,None,18680109-8-18730719 (1 of 2).txt
18730719,Launceston,147.2219997,-41.40049932,TAS,0.091017828,0.091017828,2,100,exact,18680109-8-18730719 (1 of 2).txt
18730719,Illawarra,119.1145,-32.23402,Ambiguous,10.72041163,2.963359706,8,,exact,18680109-8-18730719 (1 of 2).txt
18730719,Bulli,150.9177778,-34.32888889,NSW,0.016296296,0.015555556,4,75,exact,18680109-8-18730719 (1 of 2).txt
18730719,North Bulli,,,None,,,0,,None,18680109-8-18730719 (1 of 2).txt
124723812,Mount Morgan,150.3833333,-29.215,Ambiguous,6.781067994,5.581666667,12,,exact,18940720-492-124723812 (1 of 2).txt
52042350,Queensland,121.2023,-31.02926,WA,0,0,1,100,exact,18851001-77-52042350 (1 of 2).txt
52042350,Australia,137.13828,-28.61389,Ambiguous,0,0,2,,exact,18851001-77-52042350 (1 of 2).txt
52042350,New South Wales,147.0177778,-32.16166667,NSW,0,0,1,100,exact,18851001-77-52042350 (1 of 2).txt
52042350,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18851001-77-52042350 (1 of 2).txt
