0,1,2
Dubbo,LOCATION,18950122-492-121316350 (1 of 1).txt
W. Gardiner,PERSON,18950122-492-121316350 (1 of 1).txt
Dubbo,LOCATION,18950122-492-121316350 (1 of 1).txt
Bogan,PERSON,18950122-492-121316350 (1 of 1).txt
Canon,ORGANIZATION,18950122-492-121316350 (1 of 1).txt
Bedlington,PERSON,18950122-492-121316350 (1 of 1).txt
Windsor,LOCATION,18961017-192-72550000 (1 of 1).txt
Rylstone Express,ORGANIZATION,18961017-192-72550000 (1 of 1).txt
Jim Byram,PERSON,18961017-192-72550000 (1 of 1).txt
Committee,ORGANIZATION,18961017-192-72550000 (1 of 1).txt
School of Arts,ORGANIZATION,18961017-192-72550000 (1 of 1).txt
J. W. Mortley,PERSON,18961017-192-72550000 (1 of 1).txt
Fred Mortley,PERSON,18961017-192-72550000 (1 of 1).txt
Windsor,LOCATION,18961017-192-72550000 (1 of 1).txt
Ashfield Bowling Club,ORGANIZATION,18961017-192-72550000 (1 of 1).txt
S. G. Fielding,PERSON,18961017-192-72550000 (1 of 1).txt
St. Matthew 's Church of England,LOCATION,18961017-192-72550000 (1 of 1).txt
H. T,PERSON,18961017-192-72550000 (1 of 1).txt
SOUTH WALES,LOCATION,18910107-30-3139737 (2 of 2).txt
BUSH,PERSON,18910107-30-3139737 (2 of 2).txt
Tkuobatr,PERSON,18910107-30-3139737 (2 of 2).txt
Temora,LOCATION,18910107-30-3139737 (2 of 2).txt
Sydney,LOCATION,18910107-30-3139737 (2 of 2).txt
Verulam,ORGANIZATION,18910107-30-3139737 (2 of 2).txt
Newcastle,LOCATION,18910107-30-3139737 (2 of 2).txt
ALBANY,LOCATION,18910107-30-3139737 (2 of 2).txt
Teleqbaph,PERSON,18910107-30-3139737 (2 of 2).txt
Sydney,LOCATION,18910107-30-3139737 (2 of 2).txt
Seymour,LOCATION,18840307-436-254369580 (1 of 1).txt
Seymour,PERSON,18840307-436-254369580 (1 of 1).txt
Henry Ferrer,PERSON,18840307-436-254369580 (1 of 1).txt
Gordon,PERSON,18840307-436-254369580 (1 of 1).txt
George Ferrer—were,PERSON,18840307-436-254369580 (1 of 1).txt
George,PERSON,18840307-436-254369580 (1 of 1).txt
Binch,PERSON,18840307-436-254369580 (1 of 1).txt
Gundagai,LOCATION,18840307-436-254369580 (1 of 1).txt
Alfred John Hastings,PERSON,18840307-436-254369580 (1 of 1).txt
William Wil,PERSON,18840307-436-254369580 (1 of 1).txt
South Gundagai,LOCATION,18840307-436-254369580 (1 of 1).txt
Sydney Craine,PERSON,18840307-436-254369580 (1 of 1).txt
Snowball Creek,LOCATION,18840307-436-254369580 (1 of 1).txt
Williams,PERSON,18840307-436-254369580 (1 of 1).txt
United Albions Company,ORGANIZATION,18960107-185-203768628 (2 of 4).txt
Albion,LOCATION,18960107-185-203768628 (2 of 4).txt
Wright,PERSON,18960107-185-203768628 (2 of 4).txt
United Albions,ORGANIZATION,18960107-185-203768628 (2 of 4).txt
Australia,LOCATION,18570117-13-7143278 (2 of 6).txt
Arthur Cubitt,PERSON,18881013-289-94767470 (3 of 4).txt
David Wilson,PERSON,18881013-289-94767470 (3 of 4).txt
National Bank of Australasia,ORGANIZATION,18881013-289-94767470 (3 of 4).txt
John Fry,PERSON,18881013-289-94767470 (3 of 4).txt
Oaks,LOCATION,18881013-289-94767470 (3 of 4).txt
Picton,LOCATION,18881013-289-94767470 (3 of 4).txt
Werombl,LOCATION,18881013-289-94767470 (3 of 4).txt
Camden,LOCATION,18881013-289-94767470 (3 of 4).txt
Goldabrough,PERSON,18881013-289-94767470 (3 of 4).txt
Co.,ORGANIZATION,18881013-289-94767470 (3 of 4).txt
Junee,PERSON,18881013-289-94767470 (3 of 4).txt
M. Pasteur,PERSON,18881013-289-94767470 (3 of 4).txt
Broken Hill and District Water Supply Company,ORGANIZATION,18881013-289-94767470 (3 of 4).txt
