INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
125,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
126,10359_26_01_1912_3_XII__31392947.txt,British,54.12539508,-2.859749915,VERIFIED,,British,
127,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
128,10359_26_01_1912_3_XII__31392947.txt,Alain Street,,,UNVERIFIED,Imaginary,Alain Street,
129,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
130,10359_26_01_1912_3_XII__31392947.txt,Sydney,-33.86785,151.20732,UNVERIFIED,,Sydney,
131,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
132,10359_26_01_1912_3_XII__31392947.txt,Toronto,43.70011,-79.4163,VERIFIED,,Toronto,
133,10359_26_01_1912_3_XII__31392947.txt,Manitoba,54.9186677,-97.43692373,VERIFIED,,Manitoba,
134,10359_26_01_1912_3_XII__31392947.txt,New South Wales,-32.1690028,147.0117543,VERIFIED,,New South Wales,
135,10359_26_01_1912_3_XII__31392947.txt,Lake Superior,47.818979,86.610227,UNVERIFIED,,Lake Superior,
136,10359_26_01_1912_3_XII__31392947.txt,Broken Hill,-31.9652,141.4512,VERIFIED,,Broken Hill,
137,10359_26_01_1912_3_XII__31392947.txt,Fort William,56.81648,-5.11208,UNVERIFIED,,Fort William,
139,10359_26_01_1912_3_XII__31392947.txt,Kenora,49.804416,94.412377,UNVERIFIED,,Kenora,
140,10359_26_01_1912_3_XII__31392947.txt,Eastern,-13.58907536,31.88669653,UNVERIFIED,,Eastern,
141,10359_26_01_1912_3_XII__31392947.txt,Canada,61.36053298,-98.18587205,UNVERIFIED,Geographic Region,Canada,
142,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
143,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
144,10359_26_01_1912_3_XII__31392947.txt,Canada,61.36053298,-98.18587205,UNVERIFIED,Geographic Region,Canada,
145,10359_26_01_1912_3_XII__31392947.txt,British Isles,54.12539508,-2.859749915,VERIFIED,Geographic Region,British Isles,
146,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
147,10359_26_01_1912_3_XII__31392947.txt,Great Britain,52.3555,1.1743,UNVERIFIED,Geographic Region,Great Britain,
148,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
149,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
150,10359_26_01_1912_3_XII__31392947.txt,Winnlipeg,49.849753,97.143304,UNVERIFIED,,Winnlipeg,
