article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
31392947,Eastern,10359_26_01_1912_3_XII__31392947.txt,143.1618056,-27.99541667,Ambiguous,8.933791096,8.933791096,2,,exact,10359
31392947,Canada,10359_26_01_1912_3_XII__31392947.txt,142.05,-20.96666667,QLD,0,0,1,100,exact,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Canada,10359_26_01_1912_3_XII__31392947.txt,142.05,-20.96666667,QLD,0,0,1,100,exact,10359
31392947,British Isles,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Great Britain,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnlipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Lake WVinnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Rivertina,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Canada,10359_26_01_1912_3_XII__31392947.txt,142.05,-20.96666667,QLD,0,0,1,100,exact,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
88822252,Liverpool,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,150.9177778,-33.92305556,NSW,0.007659749,0.008611111,4,75,exact,6244
88822252,Eiirinrbla Station,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
