,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
356,ZEEHAN,LOCATION,18970226-10-9392247 (1 of 3).txt,ZEEHAN,TAS,-41.89137733,145.3514743,100
357,ZEEHAN,LOCATION,18970226-10-9392247 (1 of 3).txt,ZEEHAN,TAS,-41.89137733,145.3514743,100
358,SCARSDALE,LOCATION,18630106-13-6482437 (9 of 17).txt,SCARSDALE,VIC,-37.67475547,143.6547765,100
362,MELBOURNE,LOCATION,18620301-821-158185661 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
363,MELBOURNE,LOCATION,18620301-821-158185661 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
364,CAMPERDOWN,LOCATION,18920216-43-18600449 (1 of 3).txt,CAMPERDOWN,VIC,-38.24335818,143.1359488,100
367,MELBOURNE,LOCATION,18871216-436-254572753 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
368,TELFORD,LOCATION,18790131-185-199347615 (1 of 3).txt,TELFORD,VIC,-36.09936806,145.9546616,100
370,BOURKE,LOCATION,18871217-460-143304600 (1 of 4).txt,BOURKE,NSW,-30.03547436,145.8974338,100
372,MANNUM,LOCATION,18930217-714-147625174 (1 of 1).txt,MANNUM,SA,-34.93580794,139.2276262,100
373,ALDGATE,LOCATION,18930217-714-147625174 (1 of 1).txt,ALDGATE,SA,-35.0273356,138.743294,100
374,BRIDGEWATER,LOCATION,18930217-714-147625174 (1 of 1).txt,BRIDGEWATER,VIC,-36.63652937,143.90895,100
375,ILLABAROOK,LOCATION,18820214-558-150630177 (2 of 2).txt,ILLABAROOK,VIC,-37.82698871,143.6355821,100
377,MOUNT PLEASANT,LOCATION,18820401-41-47108859 (1 of 5).txt,MOUNT PLEASANT,QLD,-27.16367768,152.7880887,100
378,MOUNT MERCER,LOCATION,18871119-582-198932185 (1 of 1).txt,MOUNT MERCER,VIC,-37.82471141,143.8875802,100
