,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
148,DUBBO,LOCATION,18711218-67-60879207 (2 of 2).txt,DUBBO,NSW,-32.37824209,148.6914051,100
149,AVOCA,LOCATION,18881229-460-142434272 (4 of 6).txt,AVOCA,QLD,-24.87872961,152.3054074,100
150,AVOCA,LOCATION,18881229-460-142434272 (4 of 6).txt,AVOCA,QLD,-24.87872961,152.3054074,100
151,CLIFDEN,LOCATION,18800918-8-812130 (1 of 1).txt,CLIFDEN,NSW,-29.53507422,152.9815262,100
152,ADELAIDE,LOCATION,18500215-41-38440554 (2 of 2).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
153,SUBIACO,LOCATION,18900131-30-3131707 (1 of 3).txt,SUBIACO,WA,-31.94378243,115.8371126,100
154,CAPE OTWAY,LOCATION,18821213-41-43333585 (1 of 1).txt,CAPE OTWAY,VIC,-38.83503627,143.5302245,100
156,EDINA,LOCATION,18710127-558-150655845 (1 of 1).txt,MEDINA,WA,-32.23942,115.8068,100
157,MELBOURNE,LOCATION,18710127-558-150655845 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
160,CLARENDON,LOCATION,18881228-185-209452794 (3 of 3).txt,CLARENDON,QLD,-27.4445299,152.5515778,100
164,PERTH,LOCATION,18920608-180-66306761 (1 of 1).txt,PERTH,TAS,-41.56450256,147.1841337,100
165,ECHUCA,LOCATION,18860112-8-18881661 (5 of 12).txt,ECHUCA,VIC,-36.18245189,144.7112403,100
166,GOORNONG,LOCATION,18860112-8-18881661 (5 of 12).txt,GOORNONG,VIC,-36.62280943,144.5191222,100
167,SANDHURST,LOCATION,18860112-8-18881661 (5 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
169,WINDSOR,LOCATION,18971204-192-72553595 (2 of 2).txt,WINDSOR,SA,-34.43202712,138.3667316,100
173,HERNE HILL,LOCATION,18820310-185-200667983 (1 of 1).txt,HERNE HILL,WA,-31.83873672,116.005032,100
174,IRIVERLEIGHV,LOCATION,18630110-319-197290636 (6 of 21).txt,RIVERLEIGH,QLD,-25.59126776,151.2207048,100
175,MELBOURNE,LOCATION,18590316-7-790406 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
176,BRIGHTON,LOCATION,18590316-7-790406 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100
177,BRIGHTON,LOCATION,18590316-7-790406 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100
178,SALISBURY,LOCATION,18500131-41-38445956 (1 of 1).txt,SALISBURY,SA,-34.75959569,138.642014,100
183,INGLEWOOD,LOCATION,18750126-74-52897349 (3 of 4).txt,INGLEWOOD,WA,-31.92163145,115.8843477,100
184,ARARAT,LOCATION,18750126-74-52897349 (3 of 4).txt,ARARAT,VIC,-37.30897256,142.9230965,100
187,BALMORAL,LOCATION,18941201-558-150139952 (1 of 3).txt,BALMORAL,VIC,-37.24482851,141.7267961,100
188,INGLEWOOD,LOCATION,18790114-185-199347171 (1 of 1).txt,INGLEWOOD,WA,-31.92163145,115.8843477,100
190,CARISBROOK,LOCATION,18650414-35-13103165 (1 of 2).txt,CARISBROOK,VIC,-37.01159555,143.8607659,100
192,SANDHURST,LOCATION,18650414-35-13103165 (1 of 2).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
194,RAVENSWOOD,LOCATION,18790221-582-198858338 (5 of 5).txt,RAVENSWOOD,QLD,-20.11564703,146.9274798,100
196,GOOLWA,LOCATION,18720308-41-39272332 (1 of 1).txt,GOOLWA,SA,-35.50263835,138.7850643,100
197,KINGSTON,LOCATION,18720308-41-39272332 (1 of 1).txt,KINGSTON,QLD,-27.66052291,153.1176323,100
199,MELBOURNE,LOCATION,18991227-34-29525093 (4 of 5).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
200,MELBOURNE,LOCATION,18991227-34-29525093 (4 of 5).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
201,BEECHWORTH,LOCATION,18991227-34-29525093 (4 of 5).txt,BEECHWORTH,VIC,-36.34129804,146.6902532,100
204,WHOROULY,LOCATION,18991227-34-29525093 (4 of 5).txt,WHOROULY,VIC,-36.48653081,146.5659954,100
205,MAFFRA,LOCATION,18980120-30-3193092 (4 of 4).txt,MAFFRA,NSW,-36.50954675,148.9778332,100
206,NEERIM,LOCATION,18980120-30-3193092 (4 of 4).txt,NEERIM,VIC,-37.9483799,145.9737559,100
207,GORDON,LOCATION,18980120-30-3193092 (4 of 4).txt,GORDON,VIC,-37.59498252,144.10153,100
210,SANDHURST,LOCATION,18650307-10-8831483 (2 of 5).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
211,CLARENDON,LOCATION,18780119-185-199283653 (1 of 1).txt,CLARENDON,QLD,-27.4445299,152.5515778,100
212,COWRA,LOCATION,18880204-698-164361803 (1 of 3).txt,COWRA,NSW,-33.83208066,148.6610691,100
213,KOORAWATHA,LOCATION,18880204-698-164361803 (1 of 3).txt,KOORAWATHA,NSW,-34.02924234,148.4978728,100
214,COONAMBLE,LOCATION,18880204-698-164361803 (1 of 3).txt,COONAMBLE,NSW,-30.94977099,148.3939328,100
215,MELBOURNE,LOCATION,18860227-43-22097327 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
216,MELBOURNE,LOCATION,18860227-43-22097327 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
219,GOORNONG,LOCATION,18650318-103-63170016 (8 of 23).txt,GOORNONG,VIC,-36.62280943,144.5191222,100
220,SANDHURST,LOCATION,18650318-103-63170016 (8 of 23).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
221,SANDHURST,LOCATION,18650318-103-63170016 (8 of 23).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
222,BALLAN,LOCATION,18750130-319-197935178 (14 of 21).txt,BALLAN,VIC,-37.587273,144.237012,100
223,EUROBIN,LOCATION,18810122-326-201540521 (1 of 1).txt,EUROBIN,VIC,-36.6736068,146.8672137,100
224,MOOROOBARK,LOCATION,18670503-28-3749440 (2 of 3).txt,MOOROOLBARK,VIC,-37.76345661,145.3336381,90
226,WARATAH,LOCATION,18820125-185-200665460 (1 of 1).txt,WARATAH,TAS,-41.44430252,145.5678155,100
227,CHARLESTON,LOCATION,18820125-185-200665460 (1 of 1).txt,CHARLESTOWN,NSW,-32.95138651,151.6864141,90
231,BRUNGLE,LOCATION,18770217-698-162682293 (2 of 2).txt,BRUNGLE,NSW,-35.15030653,148.2280733,100
233,MELBOURNE,LOCATION,18851121-460-138639695 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
238,DUBBO,LOCATION,18750206-698-162491882 (1 of 1).txt,DUBBO,NSW,-32.37824209,148.6914051,100
242,SKIPTON,LOCATION,18630119-189-72554249 (2 of 2).txt,SKIPTON,VIC,-37.627367,143.345,100
249,MELBOURNE,LOCATION,18880120-436-254575473 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
250,CHILTERN,LOCATION,18880120-436-254575473 (1 of 2).txt,CHILTERN,VIC,-36.23636699,146.6299499,100
251,MELBOURNE,LOCATION,18651215-484-109909424 (3 of 3).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
252,MELBOURNE,LOCATION,18770210-460-142997021 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
254,ROSEHILL,LOCATION,18950906-1069-213443708 (1 of 3).txt,ROSEHILL,QLD,-28.19311218,152.0120316,100
255,MELBOURNE,LOCATION,18980124-41-54523843 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
256,BENDIGO,LOCATION,18980124-41-54523843 (1 of 1).txt,BENDIGO,VIC,-36.76552472,144.280931,100
257,EGYPT,LOCATION,18551126-35-12975196 (2 of 7).txt,EGYPT,QLD,-27.69053839,152.1060379,100
259,BENDIGO,LOCATION,18961230-346-88994913 (2 of 8).txt,BENDIGO,VIC,-36.76552472,144.280931,100
260,OXFORD,LOCATION,18961230-346-88994913 (2 of 8).txt,OXFORD,QLD,-21.88052257,148.8239596,100
261,PORT FAIRY,LOCATION,18961230-346-88994913 (2 of 8).txt,PORT FAIRY,VIC,-38.3794971,142.219906,100
262,BEAUFORT,LOCATION,18750125-809-202134431 (6 of 9).txt,BEAUFORT,SA,-34.09453371,138.2357414,100
264,COWRA,LOCATION,18840105-698-164383093 (3 of 4).txt,COWRA,NSW,-33.83208066,148.6610691,100
265,KURRAJONG,LOCATION,18950914-192-66447846 (3 of 3).txt,KURRAJONG,NSW,-33.55283232,150.6697908,100
266,MELBOURNE,LOCATION,18650302-74-38658298 (3 of 6).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
267,MELBOURN,LOCATION,18650302-74-38658298 (3 of 6).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
271,SANDHURST,LOCATION,18650302-74-38658298 (3 of 6).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
273,MELBOURNE,LOCATION,18650302-74-38658298 (3 of 6).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
276,BRIDGE,LOCATION,18911228-1190-241558177 (1 of 1).txt,BRIDGES,QLD,-26.51395572,152.9191565,100
281,PYRAMUL,LOCATION,18650306-13-5736665 (1 of 1).txt,PYRAMUL,NSW,-32.88702048,149.6194871,100
282,ARALUEN,LOCATION,18650306-13-5736665 (1 of 1).txt,ARALUEN,NSW,-35.6414263,149.8142044,100
284,MELBOURNE,LOCATION,18980118-185-215788343 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
285,MELBOURNE,LOCATION,18980118-185-215788343 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
288,ADELAIDE,LOCATION,18820223-1093-208255652 (3 of 3).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
