0,1,2
Glcnaros,PERSON,18670213-180-69385774.txt
Tjonrimi,LOCATION,18670213-180-69385774.txt
England,LOCATION,18670213-180-69385774.txt
Sydney,LOCATION,18670213-180-69385774.txt
Haly,PERSON,18941102-891-181834239.txt
Melbourne,LOCATION,18830310-41-43465246.txt
Cape,LOCATION,18830310-41-43465246.txt
Northumberland,LOCATION,18830310-41-43465246.txt
Melbourne,LOCATION,18830310-41-43465246.txt
Keads,LOCATION,18830310-41-43465246.txt
Cape,LOCATION,18830310-41-43465246.txt
Otway,LOCATION,18830310-41-43465246.txt
Adelaide,LOCATION,18830310-41-43465246.txt
Liguiia,LOCATION,18830310-41-43465246.txt
Marulan,LOCATION,18740207-366-100847480.txt
OClear,LOCATION,18740207-366-100847480.txt
Hill,LOCATION,18740207-366-100847480.txt
Laggan,LOCATION,18740207-366-100847480.txt
Goulburn,LOCATION,18740207-366-100847480.txt
Forxall,PERSON,18740207-366-100847480.txt
Hiodges,PERSON,18740207-366-100847480.txt
Leke,PERSON,18740207-366-100847480.txt
Peareon,PERSON,18641004-108-65364035.txt
Junee,LOCATION,18840124-8-18921812.txt
Junction,LOCATION,18840124-8-18921812.txt
Borembiln,LOCATION,18840124-8-18921812.txt
Wagga,LOCATION,18840124-8-18921812.txt
Wagga,LOCATION,18840124-8-18921812.txt
Harry,PERSON,18840124-8-18921812.txt
Carmody,PERSON,18840124-8-18921812.txt
Wagga,LOCATION,18840124-8-18921812.txt
Wagga,LOCATION,18840124-8-18921812.txt
Bega,PERSON,18840124-8-18921812.txt
Moruya,LOCATION,18840124-8-18921812.txt
Nyngan,LOCATION,18840124-8-18921812.txt
Bourke,PERSON,18840124-8-18921812.txt
Gongolgon,LOCATION,18840124-8-18921812.txt
Willeroon,LOCATION,18840124-8-18921812.txt
Bogan,LOCATION,18840124-8-18921812.txt
River,LOCATION,18840124-8-18921812.txt
Tubba,LOCATION,18840124-8-18921812.txt
Richardson,PERSON,18840124-8-18921812.txt
Richmond,LOCATION,18840124-8-18921812.txt
Nipper,PERSON,18840124-8-18921812.txt
Elliot,PERSON,18680309-1093-207736734.txt
Richard,PERSON,18680309-1093-207736734.txt
Thompson,PERSON,18680309-1093-207736734.txt
Melbourne,LOCATION,18791029-276-78699606.txt
Gillap,LOCATION,18791029-276-78699606.txt
Molioughlin,PERSON,18791029-276-78699606.txt
Whelnn,ORGANIZATION,18791029-276-78699606.txt
Sinclair,PERSON,18421220-35-12423199.txt
Boich,PERSON,18421220-35-12423199.txt
Browne,PERSON,18840101-8-18920223.txt
C.,PERSON,18840101-8-18920223.txt
S.,PERSON,18840101-8-18920223.txt
Fielding,PERSON,18840101-8-18920223.txt
Muswellbrook,LOCATION,18840101-8-18920223.txt
Paterson,PERSON,18840101-8-18920223.txt
BUSSELTON,LOCATION,18880118-180-66083864.txt
Wesleyan,ORGANIZATION,18850820-1324-240949989.txt
Malmsbury,LOCATION,18850820-1324-240949989.txt
Bickford,PERSON,18850820-1324-240949989.txt
St.,ORGANIZATION,18850820-1324-240949989.txt
Kilda,ORGANIZATION,18850820-1324-240949989.txt
Queensland,ORGANIZATION,18850820-1324-240949989.txt
Parliament,ORGANIZATION,18850820-1324-240949989.txt
Licensing,PERSON,18850820-1324-240949989.txt
Bill,PERSON,18850820-1324-240949989.txt
Strathallan,LOCATION,18620326-10-8805548.txt
F.,PERSON,18620326-10-8805548.txt
Gregory,PERSON,18620326-10-8805548.txt
England,LOCATION,18620326-10-8805548.txt
Nicol,LOCATION,18620326-10-8805548.txt
Bay,LOCATION,18620326-10-8805548.txt
Sharks,LOCATION,18620326-10-8805548.txt
Bay,LOCATION,18620326-10-8805548.txt
Turnor,PERSON,18620326-10-8805548.txt
Mandurrah,LOCATION,18690320-386-106235274.txt
Peel,PERSON,18690320-386-106235274.txt
Church,ORGANIZATION,18690320-386-106235274.txt
Church,ORGANIZATION,18690320-386-106235274.txt
Peel,PERSON,18690320-386-106235274.txt
H.,PERSON,18690320-386-106235274.txt
Halls,PERSON,18690320-386-106235274.txt
Mandurrah,LOCATION,18690320-386-106235274.txt
